鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區民權西路9巷91~120號,0.0,商,,,1090101,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,64.72,1,1,1,有,有,有,32000,494,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPSNMLLLJHPFFCA77CC
中山區,建物,臺北市中山區中山北路一段105巷1~30號,0.0,商,,,1090117,土地0建物0車位0,三層,4,套房(1房1廳1衛),,加強磚造,,25.12,1,0,1,有,無,有,13500,537,,0.0,0,此為分租套房，房號303，第三層共分成4間，一間平均面積約為25.12平方公尺,RPWNMLLLJHPFFCA18CC
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段59巷1~30號,24.9,商,,,1081218,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,182.88,2,2,2,有,有,有,82000,448,升降平面,0.0,0,,RPTOMLLLJHPFFCA97CC
中山區,建物,臺北市中山區南京東路二段1~30號,0.0,商,,,1090118,土地0建物0車位0,七層,8,套房(1房1廳1衛),住商用,鋼筋混凝土造,0580616,24.78,1,0,1,有,無,有,14300,577,,0.0,0,此為分租套房，房號710，第七層共分成5間，一間平均面積約為24.78平方公尺,RPSPMLLLJHPFFCA97CC
內湖區,建物,臺北市內湖區瑞光路571~600號,0.0,工,,,1081230,土地0建物1車位1,七層,9,廠辦,工業用,鋼筋混凝土造,0880806,120.5,0,0,0,無,有,有,52200,410,坡道平面,3.39,0,,RPPQMLLLJHPFFCA77CC
內湖區,建物,臺北市內湖區瑞光路358巷30弄1~30號,0.0,工,,,1081231,土地0建物0車位0,八層,11,辦公商業大樓,見其他登記事項,見其他登記事項,0940607,537.68,0,0,0,無,有,無,204939,381,,0.0,0,租賃面積按比例拆算。,RPQQMLLLJHPFFCA87CC
中山區,建物,臺北市中山區中山北路二段93巷1~30號,0.0,商,,,1081230,土地0建物1車位0,十三層,14,套房(1房1廳1衛),商業用,鋼筋混凝土造,0920808,29.23,1,1,1,有,有,有,18000,616,,0.0,0,有民情風俗因素之交易。;,RPRQMLLLJHPFFCA97CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,住,,,1090117,土地0建物0車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670502,36.99,1,0,1,有,無,有,15000,406,,0.0,0,此為分租套房，房號602，第六層共分成10間，一間平均面積約為36.99平方公尺,RPSQMLLLJHPFFCA08CC
中山區,建物,臺北市中山區長安東路一段52巷1~30號,0.0,商,,,1090104,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000322,251.28,3,2,2,有,無,有,92000,366,坡道平面,24.27,0,,RPUQMLLLJHPFFCA28CC
內湖區,建物,臺北市內湖區環山路二段1~30號,0.0,住,,,1090108,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070928,97.56,2,2,1,有,無,有,42000,431,坡道機械,19.23,0,,RPXQMLLLJHPFFCA58CC
中山區,建物,臺北市中山區吉林路271~300號,0.0,商,,,1090113,土地0建物1車位0,七層,7,辦公商業大樓,住家用,鋼筋混凝土造,0701228,157.84,4,1,1,有,無,無,52000,329,,0.0,0,,RPQRMLLLJHPFFCA97CC
內湖區,建物,臺北市內湖區環山路一段1~30號,0.0,住,,,1081231,土地0建物1車位2,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0981007,304.44,4,2,2,有,有,有,120000,394,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRRMLLLJHPFFCA08CC
中山區,建物,臺北市中山區中山北路二段65巷1~30號,0.0,商,,,1090102,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,81.22999999999999,2,2,1,有,有,有,38000,468,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPURMLLLJHPFFCA38CC
